n,m,p,w,p_m,Optimal Solution Count,AVG Time,MIN Time,MAX Time,AVG Objective Value,MIN Objective Value,MAX Objective Value
10,3,0.6,1,0.15,9.0,0.026111111096623833,0.0150000000139698,0.0320000000065192,5.6,0.0,9.0
10,3,0.6,5,0.4547149699531194,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,3,0.6,10,0.5223303379776745,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,3,0.8,1,0.2,2.0,0.02399999997578555,0.0,0.0320000000065192,1.8,0.0,10.0
10,3,0.8,5,0.6062866266041592,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,3,0.8,10,0.6964404506368993,,,0.0,0.0320000000065192,0.0,0.0,0.0
10,3,1.0,1,0.25,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,3,1.0,5,0.757858283255199,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,3,1.0,10,0.8705505632961241,,,0.0,0.0320000000065192,0.0,0.0,0.0
10,5,0.6,1,0.0375,10.0,0.02330000000074502,0.0150000000139698,0.0320000000065192,1.9,1.0,3.0
10,5,0.6,5,0.34460950649911043,,,0.0150000000139698,0.0160000000614672,0.0,0.0,0.0
10,5,0.6,10,0.4547149699531194,,,0.0150000000139698,0.0160000000614672,0.0,0.0,0.0
10,5,0.8,1,0.05,10.0,0.02969999999040736,0.0,0.0470000000204891,1.8,0.0,4.0
10,5,0.8,5,0.45947934199881396,,,0.0,0.0310000000754371,0.0,0.0,0.0
10,5,0.8,10,0.6062866266041592,,,0.0,0.0160000000614672,0.0,0.0,0.0
10,5,1.0,1,0.0625,10.0,0.0296000000205822,0.0,0.0459999999729916,1.9,0.0,4.0
10,5,1.0,5,0.5743491774985174,,,0.0159999999450519,0.0320000000065192,0.0,0.0,0.0
10,5,1.0,10,0.757858283255199,,,0.0,0.0310000000754371,0.0,0.0,0.0
10,7,0.6,1,0.009375,10.0,0.01580000000540161,0.0,0.0310000000754371,0.3,0.0,1.0
10,7,0.6,5,0.26116516898883724,10.0,0.1518000000156462,0.0310000000754371,0.3290000000270083,15.2,7.0,19.0
10,7,0.6,10,0.3958523732318682,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
10,7,0.8,1,0.0125,10.0,0.013900000008288721,0.0,0.0160000000614672,0.7,0.0,2.0
10,7,0.8,5,0.34822022531844965,2.0,0.16399999998975545,0.0159999999450519,0.1720000000204891,6.8,0.0,37.0
10,7,0.8,10,0.5278031643091577,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
10,7,1.0,1,0.015625,10.0,0.00790000001434233,0.0,0.0160000000614672,0.1,0.0,1.0
10,7,1.0,5,0.43527528164806206,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
10,7,1.0,10,0.6597539553864471,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
10,9,0.6,1,0.00234375,10.0,0.01099999998696144,0.0,0.0160000000614672,0.2,0.0,1.0
10,9,0.6,5,0.1979261866159341,10.0,0.05320000000065189,0.0309999999590218,0.0939999999245628,8.0,2.0,12.0
10,9,0.6,10,0.34460950649911043,9.0,0.170111111119493,0.0150000000139698,0.1870000000344589,27.2,0.0,39.0
10,9,0.8,1,0.003125,10.0,0.00939999999245625,0.0,0.0160000000614672,0.2,0.0,1.0
10,9,0.8,5,0.2639015821545789,10.0,0.09849999999860297,0.0310000000754371,0.1720000000204891,15.3,9.0,19.0
10,9,0.8,10,0.45947934199881396,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
10,9,1.0,1,0.00390625,10.0,0.014199999999254882,0.0,0.0160000000614672,0.5,0.0,2.0
10,9,1.0,5,0.32987697769322355,10.0,0.14989999999525022,0.0620000000344589,0.2029999999795109,24.8,14.0,35.0
10,9,1.0,10,0.5743491774985174,,,0.0150000000139698,0.0470000000204891,0.0,0.0,0.0
20,3,0.6,1,0.15,,,0.0,0.0309999999590218,0.0,0.0,0.0
20,3,0.6,5,0.4547149699531194,,,0.0,0.0160000000614672,0.0,0.0,0.0
20,3,0.6,10,0.5223303379776745,,,0.0,0.0160000000614672,0.0,0.0,0.0
20,3,0.8,1,0.2,,,0.0,0.0160000000614672,0.0,0.0,0.0
20,3,0.8,5,0.6062866266041592,,,0.0,0.0310000000754371,0.0,0.0,0.0
20,3,0.8,10,0.6964404506368993,,,0.0,0.0160000000614672,0.0,0.0,0.0
20,3,1.0,1,0.25,,,0.0,0.0160000000614672,0.0,0.0,0.0
20,3,1.0,5,0.757858283255199,,,0.0,0.0309999999590218,0.0,0.0,0.0
20,3,1.0,10,0.8705505632961241,,,0.0150000000139698,0.0160000000614672,0.0,0.0,0.0
20,5,0.6,1,0.0375,10.0,0.034499999997206,0.0159999999450519,0.0620000000344589,5.3,2.0,8.0
20,5,0.6,5,0.34460950649911043,,,0.0150000000139698,0.0470000000204891,0.0,0.0,0.0
20,5,0.6,10,0.4547149699531194,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
20,5,0.8,1,0.05,10.0,0.0328000000095926,0.0159999999450519,0.0470000000204891,8.1,5.0,11.0
20,5,0.8,5,0.45947934199881396,,,0.0150000000139698,0.0309999999590218,0.0,0.0,0.0
20,5,0.8,10,0.6062866266041592,,,0.0150000000139698,0.0310000000754371,0.0,0.0,0.0
20,5,1.0,1,0.0625,10.0,0.056299999984912544,0.0159999999450519,0.1409999999450519,11.1,8.0,16.0
20,5,1.0,5,0.5743491774985174,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
20,5,1.0,10,0.757858283255199,,,0.0309999999590218,0.062999999965541,0.0,0.0,0.0
20,7,0.6,1,0.009375,10.0,0.0278999999980442,0.0150000000139698,0.0470000000204891,2.0,0.0,6.0
20,7,0.6,5,0.26116516898883724,,,0.0159999999450519,0.0320000000065192,0.0,0.0,0.0
20,7,0.6,10,0.3958523732318682,,,0.0160000000614672,0.0470000000204891,0.0,0.0,0.0
20,7,0.8,1,0.0125,10.0,0.03119999999180433,0.0150000000139698,0.0469999999040737,2.1,1.0,4.0
20,7,0.8,5,0.34822022531844965,,,0.0150000000139698,0.0470000000204891,0.0,0.0,0.0
20,7,0.8,10,0.5278031643091577,,,0.0309999999590218,0.062999999965541,0.0,0.0,0.0
20,7,1.0,1,0.015625,10.0,0.03610000003827733,0.0310000000754371,0.0470000000204891,2.9,2.0,4.0
20,7,1.0,5,0.43527528164806206,,,0.0309999999590218,0.0470000000204891,0.0,0.0,0.0
20,7,1.0,10,0.6597539553864471,,,0.0620000000344589,0.125,0.0,0.0,0.0
20,9,0.6,1,0.00234375,10.0,0.01870000000344585,0.0,0.0310000000754371,0.6,0.0,1.0
20,9,0.6,5,0.1979261866159341,6.0,1.3178333333538224,0.0470000000204891,2.094000000040978,42.6,0.0,88.0
20,9,0.6,10,0.34460950649911043,,,0.0469999999040737,0.0630000000819563,0.0,0.0,0.0
20,9,0.8,1,0.003125,10.0,0.01380000001518052,0.0,0.0310000000754371,0.4,0.0,1.0
20,9,0.8,5,0.2639015821545789,,,0.0309999999590218,0.0630000000819563,0.0,0.0,0.0
20,9,0.8,10,0.45947934199881396,,,0.0470000000204891,0.0779999999795109,0.0,0.0,0.0
20,9,1.0,1,0.00390625,10.0,0.012399999995250221,0.0,0.0309999999590218,0.9,0.0,3.0
20,9,1.0,5,0.32987697769322355,,,0.0310000000754371,0.0470000000204891,0.0,0.0,0.0
20,9,1.0,10,0.5743491774985174,,,0.0779999999795109,0.1099999999860301,0.0,0.0,0.0
30,3,0.6,1,0.15,,,0.0,0.0160000000614672,0.0,0.0,0.0
30,3,0.6,5,0.4547149699531194,,,0.0,0.0309999999590218,0.0,0.0,0.0
30,3,0.6,10,0.5223303379776745,,,0.0150000000139698,0.0470000000204891,0.0,0.0,0.0
30,3,0.8,1,0.2,,,0.0,0.0160000000614672,0.0,0.0,0.0
30,3,0.8,5,0.6062866266041592,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
30,3,0.8,10,0.6964404506368993,,,0.0,0.0309999999590218,0.0,0.0,0.0
30,3,1.0,1,0.25,,,0.0,0.0160000000614672,0.0,0.0,0.0
30,3,1.0,5,0.757858283255199,,,0.0,0.0309999999590218,0.0,0.0,0.0
30,3,1.0,10,0.8705505632961241,,,0.0159999999450519,0.0310000000754371,0.0,0.0,0.0
30,5,0.6,1,0.0375,10.0,0.04689999999245626,0.0320000000065192,0.0620000000344589,15.7,11.0,20.0
30,5,0.6,5,0.34460950649911043,,,0.0309999999590218,0.0470000000204891,0.0,0.0,0.0
30,5,0.6,10,0.4547149699531194,,,0.0309999999590218,0.0470000000204891,0.0,0.0,0.0
30,5,0.8,1,0.05,10.0,0.10319999997736881,0.0309999999590218,0.187999999965541,19.9,17.0,24.0
30,5,0.8,5,0.45947934199881396,,,0.0309999999590218,0.0470000000204891,0.0,0.0,0.0
30,5,0.8,10,0.6062866266041592,,,0.0779999999795109,0.1410000000614673,0.0,0.0,0.0
30,5,1.0,1,0.0625,10.0,0.2153999999864027,0.1709999999729916,0.4059999999590218,24.6,19.0,31.0
30,5,1.0,5,0.5743491774985174,,,0.0620000000344589,0.109000000054948,0.0,0.0,0.0
30,5,1.0,10,0.757858283255199,,,0.0309999999590218,0.0779999999795109,0.0,0.0,0.0
30,7,0.6,1,0.009375,10.0,0.04209999999729916,0.0309999999590218,0.0620000000344589,3.5,1.0,6.0
30,7,0.6,5,0.26116516898883724,,,0.0459999999729916,0.0630000000819563,0.0,0.0,0.0
30,7,0.6,10,0.3958523732318682,,,0.0620000000344589,0.0790000000270083,0.0,0.0,0.0
30,7,0.8,1,0.0125,10.0,0.034499999997206,0.0159999999450519,0.0619999999180436,5.0,3.0,9.0
30,7,0.8,5,0.34822022531844965,,,0.0459999999729916,0.0790000000270083,0.0,0.0,0.0
30,7,0.8,10,0.5278031643091577,,,0.0929999999934807,0.125,0.0,0.0,0.0
30,7,1.0,1,0.015625,10.0,0.03309999998891723,0.0159999999450519,0.0470000000204891,5.6,4.0,8.0
30,7,1.0,5,0.43527528164806206,,,0.0779999999795109,0.0940000000409782,0.0,0.0,0.0
30,7,1.0,10,0.6597539553864471,,,0.25,0.5,0.0,0.0,0.0
30,9,0.6,1,0.00234375,10.0,0.020400000002700792,0.0,0.0320000000065192,0.9,0.0,2.0
30,9,0.6,5,0.1979261866159341,,,0.0619999999180436,7.75,0.0,0.0,0.0
30,9,0.6,10,0.34460950649911043,,,0.0779999999795109,0.109000000054948,0.0,0.0,0.0
30,9,0.8,1,0.003125,10.0,0.02189999999245624,0.0150000000139698,0.0320000000065192,1.2,0.0,2.0
30,9,0.8,5,0.2639015821545789,,,0.0620000000344589,0.125,0.0,0.0,0.0
30,9,0.8,10,0.45947934199881396,,,0.125,0.1570000000065192,0.0,0.0,0.0
30,9,1.0,1,0.00390625,10.0,0.02800000001443545,0.0150000000139698,0.0469999999040737,1.5,0.0,3.0
30,9,1.0,5,0.32987697769322355,,,0.0929999999934807,0.125,0.0,0.0,0.0
30,9,1.0,10,0.5743491774985174,,,0.2190000000409782,0.3120000000344589,0.0,0.0,0.0
40,3,0.6,1,0.15,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
40,3,0.6,5,0.4547149699531194,,,0.0150000000139698,0.0470000000204891,0.0,0.0,0.0
40,3,0.6,10,0.5223303379776745,,,0.0310000000754371,0.0620000000344589,0.0,0.0,0.0
40,3,0.8,1,0.2,,,0.0150000000139698,0.0310000000754371,0.0,0.0,0.0
40,3,0.8,5,0.6062866266041592,,,0.0159999999450519,0.0470000000204891,0.0,0.0,0.0
40,3,0.8,10,0.6964404506368993,,,0.0150000000139698,0.0309999999590218,0.0,0.0,0.0
40,3,1.0,1,0.25,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
40,3,1.0,5,0.757858283255199,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
40,3,1.0,10,0.8705505632961241,,,0.0150000000139698,0.0320000000065192,0.0,0.0,0.0
40,5,0.6,1,0.0375,10.0,0.21060000000288706,0.0310000000754371,0.4060000000754371,25.2,19.0,30.0
40,5,0.6,5,0.34460950649911043,,,0.0459999999729916,0.0630000000819563,0.0,0.0,0.0
40,5,0.6,10,0.4547149699531194,,,0.0619999999180436,0.0929999999934807,0.0,0.0,0.0
40,5,0.8,1,0.05,10.0,0.34229999998351557,0.2190000000409782,1.015999999945052,34.6,31.0,42.0
40,5,0.8,5,0.45947934199881396,,,0.0630000000819563,0.0940000000409782,0.0,0.0,0.0
40,5,0.8,10,0.6062866266041592,,,0.375,0.5320000000065193,0.0,0.0,0.0
40,5,1.0,1,0.0625,10.0,2.2783000000054017,0.7970000000204891,3.844000000040978,54.8,46.0,63.0
40,5,1.0,5,0.5743491774985174,,,0.312999999965541,0.6709999999729916,0.0,0.0,0.0
40,5,1.0,10,0.757858283255199,,,0.0309999999590218,0.1869999999180436,0.0,0.0,0.0
40,7,0.6,1,0.009375,10.0,0.06269999998621638,0.0459999999729916,0.0939999999245628,6.1,2.0,8.0
40,7,0.6,5,0.26116516898883724,,,0.125,0.187999999965541,0.0,0.0,0.0
40,7,0.6,10,0.3958523732318682,,,0.2179999999934807,0.3280000000959262,0.0,0.0,0.0
40,7,0.8,1,0.0125,10.0,0.051499999978113886,0.0309999999590218,0.0779999999795109,8.4,4.0,14.0
40,7,0.8,5,0.34822022531844965,,,0.1559999999590218,0.25,0.0,0.0,0.0
40,7,0.8,10,0.5278031643091577,,,0.3279999999795109,0.515999999945052,0.0,0.0,0.0
40,7,1.0,1,0.015625,10.0,0.051600000006146694,0.0310000000754371,0.0780000000959262,10.2,7.0,12.0
40,7,1.0,5,0.43527528164806206,,,0.25,0.3429999999934807,0.0,0.0,0.0
40,7,1.0,10,0.6597539553864471,,,0.875,1.2030000000959262,0.0,0.0,0.0
40,9,0.6,1,0.00234375,10.0,0.03600000001024451,0.0150000000139698,0.0620000000344589,1.6,0.0,5.0
40,9,0.6,5,0.1979261866159341,,,0.1570000000065192,26.891000000061467,0.0,0.0,0.0
40,9,0.6,10,0.34460950649911043,,,0.234000000054948,0.4059999999590218,0.0,0.0,0.0
40,9,0.8,1,0.003125,10.0,0.03269999999320132,0.0150000000139698,0.0470000000204891,2.3,1.0,6.0
40,9,0.8,5,0.2639015821545789,,,0.1880000000819564,0.312999999965541,0.0,0.0,0.0
40,9,0.8,10,0.45947934199881396,,,0.3900000000139698,0.5,0.0,0.0,0.0
40,9,1.0,1,0.00390625,10.0,0.04999999999999997,0.0459999999729916,0.0630000000819563,3.9,1.0,10.0
40,9,1.0,5,0.32987697769322355,,,0.2029999999795109,0.25,0.0,0.0,0.0
40,9,1.0,10,0.5743491774985174,,,0.6089999999385327,1.0309999999590218,0.0,0.0,0.0
